tx_hash	network_id	protocol	type	status	flows	note
0x56ef233104fabcf809fbad26d5956f0450398cfd90a583fadfe6c7613a7bd332	AVALANCHE	Euler	LENDING_LOOP_REBALANCE	PENDING_PRICE	TRANSFER:edeUSD-1:-2.011887556269756470 | TRANSFER:edeUSD-1:4.56988285152E-7 | TRANSFER:eUSDC-2:1.983988 | FEE:AVAX:-0.000776787200000000	Euler rebalance now modeled as share-to-share continuity, not review blocker
0x08e6af7e66edbe02311f921fb6f17047e87f43acdcdb1c19526e73f7de46b50a	AVALANCHE	Euler	LENDING_LOOP_REBALANCE	PENDING_PRICE	TRANSFER:eUSDC-2:-1341.798065 | TRANSFER:eUSDt-2:5.114971 | FEE:AVAX:-0.000819043000000000	Euler share migration / rebalance leg
0xa548b35769c68377b33172370d1a414facd1be4f3c8106d21fcc3940e38ee7a5	AVALANCHE	Euler	LENDING_LOOP_REBALANCE	PENDING_PRICE	TRANSFER:eUSDC-2:-1444.591868 | TRANSFER:edeUSD-1:2.011887556269756470 | FEE:AVAX:-0.000958209840000000	Euler share migration / rebalance leg
0x305f37a69956a13001962216c845385996114876173bdbaef644bbe3baadf5df	AVALANCHE	Euler	LENDING_LOOP_OPEN	PENDING_PRICE	TRANSFER:eUSDt-2-DEBT:1663.651312 | BUY:eUSDC-2:1618.915195 | FEE:AVAX:-0.000729555000000000	Euler loop open: debt-marker transfer plus priced collateral-share acquisition
0xb4f475053ead9e30ba41032cbc0382bfb52c7f6a9782b47c21ead294c89f55ec	AVALANCHE	Euler	LENDING_LOOP_DECREASE	PENDING_PRICE	SELL:eUSDC-2:-1348.679805 | BUY:USDt:1108.636429 | FEE:AVAX:-0.000462514000000000	Euler partial unwind: share sell plus stable return
0xf9db2e5ecd31eb22ed030b64e63c68f4f940d5f6f7a828ced74e0e9d0fd3ba5a	AVALANCHE	Euler	LENDING_LOOP_CLOSE	PENDING_PRICE	SELL:eUSDC-2:-2051.603084 | BUY:USDC:2121.363989 | FEE:AVAX:-0.000228212480000000	Euler final unwind: share sell plus USDC return
0xd446b9d8a4b32b795cc957dc0e8381792bdf283824a8faf979042115f4c961c0	ETHEREUM	Resolv	STAKING_WITHDRAW_REQUEST	PENDING_PRICE	TRANSFER:stRESOLV:-30.000000000000000000 | FEE:ETH:-0.000018238111638300	Resolv request side continuity-only burn
0xde8afcabd1284b6b287eb9550d204e03d9d1c59da518a2d5acbe3f4613f38a5b	ETHEREUM	Resolv	STAKING_WITHDRAW	PENDING_PRICE	TRANSFER:RESOLV:30.000000000000000000 | FEE:ETH:-0.000012040937843220	Resolv settlement side continuity-only payout
0x65ff93bb47919df22ae36055e0e8102c9ddec1f3e5e67e4e6fad7f694b6cff28	ARBITRUM	GMX	LP_ENTRY_REQUEST	PENDING_PRICE	TRANSFER:USDC:-1000.000000 | TRANSFER:ETH:-0.000104501240797800 | FEE:ETH:-0.000013570586640000	GMX request now async continuity request
0x3ad60ac2e1c46805cebb2d0f8a5a1002364f701ebb88fdc7378a2b5bce06beab	ARBITRUM	GMX	LP_ENTRY_SETTLEMENT	PENDING_PRICE	TRANSFER:ETH:0.000019362414771800 | TRANSFER:GM: ETH/USD [WETH-USDC]:529.616719874058263403	GMX settlement now correlated async settlement
0xf7f8908b455261dc67a7f905ca99f1041987de690a7574d440e31739c3132430	MANTLE	Pendle	LP_EXIT	PENDING_PRICE	BUY:PENDLE:0.012731662739929251 | TRANSFER:cmETH:0.862092260317885000 | FEE:MNT:-0.074324282100000000	Pendle LP exit bundle with reward-side BUY PENDLE is expected
